116,Madison Drive,40.706,-74.011,12042.138872476098$14891.281729618953$17740.424586761812$20589.56744390467$23438.710301047526$26287.85315819038$29136.996015333243$31986.1388724761$31986.1388724761$28662.1388724761$25338.1388724761$22014.1388724761$22014.1388724761$25338.1388724761$28662.1388724761$31986.1388724761$31986.1388724761$29136.996015333243$26287.853158190384$23438.710301047526$20589.56744390467$17740.424586761812$14891.281729618955$12042.138872476098,4570.405146426165$6555.548003569022$8540.690860711878$10525.833717854737$12510.976574997592$14496.11943214045$16481.262289283306$18466.405146426165$18466.405146426165$16150.405146426163$13834.405146426167$11518.405146426165$11518.405146426165$13834.405146426165$16150.405146426163$18466.405146426165$18466.405146426165$16481.262289283306$14496.119432140451$12510.976574997592$10525.833717854737$8540.69086071188$6555.5480035690225$4570.405146426165,6924.723732061099$7865.009446346814$8805.295160632528$9745.580874918243$10685.866589203957$11626.15230348967$12566.438017775385$13506.723732061098$13506.723732061098$12409.723732061098$11312.7237320611$10215.723732061098$10215.723732061098$11312.723732061098$12409.723732061098$13506.723732061098$13506.723732061098$12566.438017775385$11626.15230348967$10685.866589203957$9745.580874918243$8805.29516063253$7865.009446346814$6924.723732061099
117,Brooklyn Circle,40.706,-74.00655555555555,6754.017765180101$7686.017765180101$8618.017765180102$9550.017765180102$10482.017765180102$11414.0177651801$12346.017765180102$13278.017765180102$13278.017765180102$12190.684431846767$11103.351098513434$10016.017765180102$10016.017765180102$11103.351098513434$12190.684431846767$13278.017765180102$13278.017765180102$12346.017765180102$11414.017765180102$10482.017765180102$9550.017765180102$8618.017765180102$7686.017765180102$6754.017765180101,5627.194865147302$8120.9091508615875$10614.623436575874$13108.33772229016$15602.052008004446$18095.76629371873$20589.480579433017$23083.194865147303$23083.194865147303$20173.861531813967$17264.528198480635$14355.194865147303$14355.194865147303$17264.528198480635$20173.861531813967$23083.194865147303$23083.194865147303$20589.480579433017$18095.76629371873$15602.052008004446$13108.33772229016$10614.623436575876$8120.909150861588$5627.194865147302,6110.9999920275295$7316.142849170386$8521.285706313243$9726.4285634561$10931.571420598957$12136.714277741814$13341.857134884673$14546.99999202753$14546.99999202753$13140.99999202753$11734.99999202753$10328.99999202753$10328.99999202753$11734.99999202753$13140.99999202753$14546.99999202753$14546.99999202753$13341.857134884673$12136.714277741816$10931.571420598957$9726.4285634561$8521.285706313243$7316.142849170386$6110.9999920275295
118,Stanley Street,40.706,-74.0021111111111,3866.2599053725953$4066.5456196583095$4266.831333944024$4467.117048229738$4667.402762515452$4867.688476801167$5067.974191086882$5268.259905372595$5268.259905372595$5034.593238705928$4800.926572039262$4567.259905372595$4567.259905372595$4800.926572039261$5034.593238705928$5268.259905372595$5268.259905372595$5067.974191086882$4867.688476801167$4667.402762515452$4467.117048229738$4266.831333944024$4066.5456196583095$3866.2599053725953,3736.8625932171612$4813.434021788589$5890.005450360019$6966.576878931448$8043.1483075028755$9119.719736074303$10196.291164645734$11272.862593217162$11272.862593217162$10016.86259321716$8760.862593217162$7504.862593217162$7504.862593217162$8760.862593217162$10016.86259321716$11272.862593217162$11272.862593217162$10196.291164645734$9119.719736074305$8043.1483075028755$6966.576878931448$5890.005450360019$4813.43402178859$3736.8625932171612,7775.020031770422$10443.877174627565$13112.734317484708$15781.591460341851$18450.44860319899$21119.305746056136$23788.16288891328$26457.020031770422$26457.020031770422$23343.353365103754$20229.68669843709$17116.020031770422$17116.020031770422$20229.686698437086$23343.353365103754$26457.020031770422$26457.020031770422$23788.16288891328$21119.305746056136$18450.44860319899$15781.591460341851$13112.73431748471$10443.877174627565$7775.020031770422
119,Christopher Avenue,40.706,-73.99766666666666,8137.71541551926$10847.14398694783$13556.572558376403$16266.001129804976$18975.429701233545$21684.858272662117$24394.28684409069$27103.715415519262$27103.715415519262$23942.715415519262$20781.715415519262$17620.715415519262$17620.715415519262$20781.715415519262$23942.715415519262$27103.715415519262$27103.715415519262$24394.28684409069$21684.858272662117$18975.429701233545$16266.001129804976$13556.572558376405$10847.143986947833$8137.71541551926,4641.775592582097$5871.204164010667$7100.63273543924$8330.06130686781$9559.489878296381$10788.918449724953$12018.347021153526$13247.775592582097$13247.775592582097$11813.442259248763$10379.10892591543$8944.775592582097$8944.775592582097$10379.108925915429$11813.442259248763$13247.775592582097$13247.775592582097$12018.347021153526$10788.918449724953$9559.489878296381$8330.06130686781$7100.63273543924$5871.204164010668$4641.775592582097,6811.467632634183$8847.467632634183$10883.467632634183$12919.467632634183$14955.467632634183$16991.467632634183$19027.467632634183$21063.467632634183$21063.467632634183$18688.13429930085$16312.800965967517$13937.467632634183$13937.467632634183$16312.800965967515$18688.13429930085$21063.467632634183$21063.467632634183$19027.467632634183$16991.467632634183$14955.467632634183$12919.467632634183$10883.467632634185$8847.467632634185$6811.467632634183
120,Maiden Boulevard,40.706,-73.99322222222222,6723.1149279325655$9270.82921364685$11818.543499361136$14366.257785075422$16913.972070789707$19461.686356503993$22009.40064221828$24557.114927932565$24557.114927932565$21584.78159459923$18612.448261265898$15640.114927932565$15640.114927932565$18612.448261265898$21584.78159459923$24557.114927932565$24557.114927932565$22009.40064221828$19461.686356503993$16913.972070789707$14366.257785075422$11818.543499361138$9270.829213646852$6723.1149279325655,4866.234608348102$6618.520322633815$8370.80603691953$10123.091751205246$11875.37746549096$13627.663179776673$15379.948894062389$17132.234608348102$17132.234608348102$15087.901275014769$13043.567941681436$10999.234608348102$10999.234608348102$13043.567941681435$15087.901275014769$17132.234608348102$17132.234608348102$15379.948894062389$13627.663179776675$11875.37746549096$10123.091751205246$8370.806036919532$6618.520322633816$4866.234608348102,7175.773451662435$10023.202023091006$12870.630594519578$15718.05916594815$18565.48773737672$21412.91630880529$24260.344880233868$27107.773451662433$27107.773451662433$23785.773451662433$20463.773451662433$17141.773451662433$17141.773451662433$20463.773451662433$23785.773451662433$27107.773451662433$27107.773451662433$24260.344880233868$21412.916308805296$18565.48773737672$15718.05916594815$12870.63059451958$10023.202023091008$7175.773451662435
121,Canal Avenue,40.706,-73.98877777777778,4385.754685467453$6182.326114038881$7978.89754261031$9775.46897118174$11572.040399753167$13368.611828324594$15165.183256896025$16961.754685467455$16961.754685467455$14865.754685467451$12769.754685467455$10673.754685467453$10673.754685467453$12769.754685467453$14865.754685467451$16961.754685467455$16961.754685467455$15165.183256896025$13368.611828324596$11572.040399753167$9775.46897118174$7978.897542610312$6182.326114038882$4385.754685467453,5096.056979673315$7388.056979673315$9680.056979673314$11972.056979673314$14264.056979673314$16556.056979673314$18848.056979673314$21140.056979673314$21140.056979673314$18466.056979673314$15792.056979673318$13118.056979673314$13118.056979673314$15792.056979673314$18466.056979673314$21140.056979673314$21140.056979673314$18848.056979673314$16556.056979673314$14264.056979673314$11972.056979673314$9680.056979673318$7388.056979673316$5096.056979673315,3651.408756621763$5054.55161376462$6457.694470907477$7860.837328050335$9263.980185193192$10667.123042336047$12070.265899478905$13473.408756621764$13473.408756621764$11836.408756621764$10199.408756621764$8562.408756621764$8562.408756621764$10199.408756621764$11836.408756621764$13473.408756621764$13473.408756621764$12070.265899478905$10667.12304233605$9263.980185193192$7860.837328050335$6457.694470907479$5054.551613764621$3651.408756621763
122,Brooklyn Way,40.706,-73.98433333333334,5613.79413941124$8321.79413941124$11029.79413941124$13737.79413941124$16445.794139411242$19153.794139411242$21861.794139411242$24569.794139411242$24569.794139411242$21410.460806077906$18251.127472744578$15091.79413941124$15091.79413941124$18251.127472744574$21410.460806077906$24569.794139411242$24569.794139411242$21861.794139411242$19153.794139411242$16445.794139411242$13737.79413941124$11029.794139411242$8321.794139411242$5613.79413941124,1305.2881992619068$1474.7167706904784$1644.1453421190497$1813.573913547621$1983.0024849761926$2152.4310564047637$2321.8596278333353$2491.288199261907$2491.288199261907$2293.62153259524$2095.954865928574$1898.2881992619068$1898.2881992619068$2095.9548659285733$2293.62153259524$2491.288199261907$2491.288199261907$2321.8596278333353$2152.4310564047637$1983.0024849761926$1813.573913547621$1644.14534211905$1474.7167706904784$1305.2881992619068,4269.218291097812$6208.075433954955$8146.932576812096$10085.789719669241$12024.646862526382$13963.504005383526$15902.36114824067$17841.21829109781$17841.21829109781$15579.21829109781$13317.218291097814$11055.218291097812$11055.218291097812$13317.218291097812$15579.21829109781$17841.21829109781$17841.21829109781$15902.36114824067$13963.504005383526$12024.646862526382$10085.789719669241$8146.932576812098$6208.075433954955$4269.218291097812
123,Madison Parkway,40.706,-73.9798888888889,5317.393695875673$7859.107981589959$10400.822267304244$12942.53655301853$15484.250838732816$18025.965124447102$20567.67941016139$23109.393695875675$23109.393695875675$20144.06036254234$17178.727029209007$14213.393695875673$14213.393695875673$17178.727029209007$20144.06036254234$23109.393695875675$23109.393695875675$20567.67941016139$18025.965124447102$15484.250838732816$12942.53655301853$10400.822267304246$7859.107981589959$5317.393695875673,2690.7307273502265$3438.445013064512$4186.159298778798$4933.873584493083$5681.58787020737$6429.302155921655$7177.016441635941$7924.7307273502265$7924.7307273502265$7052.397394016893$6180.0640606835605$5307.7307273502265$5307.7307273502265$6180.06406068356$7052.397394016893$7924.7307273502265$7924.7307273502265$7177.016441635941$6429.302155921655$5681.58787020737$4933.873584493083$4186.159298778798$3438.445013064512$2690.7307273502265,5461.271171054152$8032.128313911295$10602.985456768438$13173.842599625581$15744.699742482722$18315.556885339865$20886.41402819701$23457.27117105415$23457.27117105415$20457.937837720816$17458.604504387487$14459.271171054152$14459.271171054152$17458.604504387484$20457.937837720816$23457.27117105415$23457.27117105415$20886.41402819701$18315.556885339865$15744.699742482722$13173.842599625581$10602.98545676844$8032.128313911297$5461.271171054152
124,Victory Parkway,40.706,-73.97544444444445,5626.642363042192$8397.213791613622$11167.78522018505$13938.356648756479$16708.928077327906$19479.499505899334$22250.070934470765$25020.642363042192$25020.642363042192$21788.309029708857$18555.975696375528$15323.642363042192$15323.642363042192$18555.975696375524$21788.309029708857$25020.642363042192$25020.642363042192$22250.070934470765$19479.499505899337$16708.928077327906$13938.356648756479$11167.785220185051$8397.213791613622$5626.642363042192,3346.829300410393$4451.400728981822$5555.972157553249$6660.543586124679$7765.115014696106$8869.686443267536$9974.257871838965$11078.829300410393$11078.829300410393$9790.162633743725$8501.49596707706$7212.8293004103925$7212.8293004103925$8501.495967077059$9790.162633743725$11078.829300410393$11078.829300410393$9974.257871838965$8869.686443267536$7765.115014696106$6660.543586124679$5555.972157553251$4451.400728981822$3346.829300410393,4644.24879494905$6781.677366377621$8919.105937806193$11056.534509234765$13193.963080663334$15331.391652091905$17468.82022352048$19606.24879494905$19606.24879494905$17112.58212828238$14618.915461615718$12125.24879494905$12125.24879494905$14618.915461615716$17112.58212828238$19606.24879494905$19606.24879494905$17468.82022352048$15331.391652091907$13193.963080663334$11056.534509234765$8919.105937806195$6781.677366377622$4644.24879494905
125,Madison Avenue,40.706,-73.971,1177.0763967810342$1582.5049682096055$1987.933539638177$2393.3621110667486$2798.79068249532$3204.2192539238913$3609.6478253524633$4015.0763967810344$4015.0763967810344$3542.0763967810344$3069.0763967810344$2596.0763967810344$2596.0763967810344$3069.0763967810344$3542.0763967810344$4015.0763967810344$4015.0763967810344$3609.6478253524633$3204.2192539238918$2798.79068249532$2393.3621110667486$1987.9335396381773$1582.5049682096057$1177.0763967810342,5029.319013242138$7424.176156099281$9819.033298956423$12213.890441813566$14608.747584670708$17003.60472752785$19398.461870384996$21793.319013242137$21793.319013242137$18999.319013242137$16205.319013242139$13411.319013242137$13411.319013242137$16205.319013242137$18999.319013242137$21793.319013242137$21793.319013242137$19398.461870384996$17003.60472752785$14608.747584670708$12213.890441813566$9819.033298956425$7424.176156099282$5029.319013242138,3763.6694204416926$5613.669420441693$7463.669420441693$9313.669420441693$11163.669420441693$13013.66942044169$14863.669420441693$16713.669420441693$16713.669420441693$14555.336087108359$12397.002753775027$10238.669420441693$10238.669420441693$12397.002753775025$14555.336087108359$16713.669420441693$16713.669420441693$14863.669420441693$13013.669420441693$11163.669420441693$9313.669420441693$7463.669420441694$5613.669420441694$3763.6694204416926
